group,time_day,at_risk_n
1_no_primary_psych_no_delirium,0,13886
1_no_primary_psych_no_delirium,30,13429
1_no_primary_psych_no_delirium,90,12984
1_no_primary_psych_no_delirium,180,12595
1_no_primary_psych_no_delirium,365,12034
2_primary_psych_no_delirium,0,5980
2_primary_psych_no_delirium,30,5717
2_primary_psych_no_delirium,90,5465
2_primary_psych_no_delirium,180,5272
2_primary_psych_no_delirium,365,5008
3_no_primary_psych_delirium,0,6022
3_no_primary_psych_delirium,30,5456
3_no_primary_psych_delirium,90,5113
3_no_primary_psych_delirium,180,4884
3_no_primary_psych_delirium,365,4572
4_primary_psych_delirium,0,3478
4_primary_psych_delirium,30,3152
4_primary_psych_delirium,90,2970
4_primary_psych_delirium,180,2825
4_primary_psych_delirium,365,2651
