outcome,model,metric,estimate,ci95_lower,ci95_upper,bootstrap_successful_iterations,formal_interpretability,synergy_index_same_rr_direction,synergy_index_denom,synergy_index_bootstrap_denom_sign_flip_fraction
icu_readmission_365d,Model 1,R00,0.12935952678901,0.12309756385790288,0.13550545651665383,1000,reported,,,
icu_readmission_365d,Model 1,R10,0.12728271446060976,0.11841620456666589,0.13565082349984206,1000,reported,,,
icu_readmission_365d,Model 1,R01,0.1543082704564539,0.1442765186010356,0.1657093718851639,1000,reported,,,
icu_readmission_365d,Model 1,R11,0.1329593423796503,0.12111839281387739,0.14637578000371926,1000,reported,,,
icu_readmission_365d,Model 1,interaction_contrast,-0.019272115748403373,-0.03779667002773579,0.000554621815486377,1000,reported,,,
icu_readmission_365d,Model 1,RR10,0.9839454241991191,0.901553804322791,1.062151097276098,1000,reported,,,
icu_readmission_365d,Model 1,RR01,1.192863597190922,1.0919781179709602,1.3021491390508622,1000,reported,,,
icu_readmission_365d,Model 1,RR11,1.0278279897893545,0.9149357852346303,1.1449471575791674,1000,reported,,,
icu_readmission_365d,Model 1,RERI,-0.14898103160068654,-0.29615646017646224,0.004167132018859003,1000,reported,,,
icu_readmission_365d,Model 1,AP,-0.14494743583624248,-0.30219504219885374,0.0037257052482487733,1000,reported,,,
icu_readmission_365d,Model 1,synergy_index,0.1573901013114365,-0.7915631510154603,1.1103964239836654,1000,not_interpretable,False,0.17680902139004118,0.013
icu_readmission_365d,Model 2,R00,0.1312851943844716,0.12485903156532559,0.13767850759266223,1000,reported,,,
icu_readmission_365d,Model 2,R10,0.12960481012157754,0.12055334185750304,0.13826489828404187,1000,reported,,,
icu_readmission_365d,Model 2,R01,0.14903458801041589,0.13897329429219862,0.16010593366980763,1000,reported,,,
icu_readmission_365d,Model 2,R11,0.12876690155471843,0.11725574483529347,0.14185132813827933,1000,reported,,,
icu_readmission_365d,Model 2,interaction_contrast,-0.018587302192803412,-0.0373192843198069,0.0007106276337806865,1000,reported,,,
icu_readmission_365d,Model 2,RR10,0.9872005044378956,0.9030015097423228,1.0647996334084644,1000,reported,,,
icu_readmission_365d,Model 2,RR01,1.135197222422239,1.0380294354417638,1.2457211171057414,1000,reported,,,
icu_readmission_365d,Model 2,RR11,0.9808181505800396,0.8756663514013615,1.0926709413504252,1000,reported,,,
icu_readmission_365d,Model 2,RERI,-0.1415795762800951,-0.28702057445758483,0.005221844007179193,1000,reported,,,
icu_readmission_365d,Model 2,AP,-0.144348446443785,-0.3023880994535235,0.00510229208512708,1000,reported,,,
icu_readmission_365d,Model 2,synergy_index,-0.15671736650697518,-3.4174713349232824,2.245183779947684,1000,not_interpretable,False,0.12239772686013473,0.046
