model,group,label,risk,converged,error,risk_difference_vs_group1,risk_ratio_vs_group1,outcome,analysis,weight_strategy
IPSW fixed-horizon logistic untrimmed,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,0.14300809300745793,True,,0.0,1.0,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,untrimmed
IPSW fixed-horizon logistic untrimmed,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,0.15737589670083418,True,,0.014367803693376258,1.1004684657435924,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,untrimmed
IPSW fixed-horizon logistic untrimmed,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,0.18808067939357354,True,,0.04507258638611561,1.315175074628574,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,untrimmed
IPSW fixed-horizon logistic untrimmed,4_primary_psych_delirium,Psychiatric comorbidity / delirium,0.1864142567346072,True,,0.04340616372714928,1.3035224287962894,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,untrimmed
IPSW fixed-horizon logistic trim_1_99,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,0.14488739336609358,True,,0.0,1.0,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_1_99
IPSW fixed-horizon logistic trim_1_99,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,0.15810643698145052,True,,0.013219043615356946,1.091236672206227,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_1_99
IPSW fixed-horizon logistic trim_1_99,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,0.18945096226117403,True,,0.04456356889508045,1.3075738189483446,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_1_99
IPSW fixed-horizon logistic trim_1_99,4_primary_psych_delirium,Psychiatric comorbidity / delirium,0.18776676522977215,True,,0.04287937186367857,1.2959496396993857,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_1_99
IPSW fixed-horizon logistic trim_5_95,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,0.14667653796142516,True,,0.0,1.0,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_5_95
IPSW fixed-horizon logistic trim_5_95,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,0.15882050962991182,True,,0.012143971668486658,1.0827942344240524,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_5_95
IPSW fixed-horizon logistic trim_5_95,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,0.1916952160258067,True,,0.045018678064381534,1.3069248748986775,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_5_95
IPSW fixed-horizon logistic trim_5_95,4_primary_psych_delirium,Psychiatric comorbidity / delirium,0.19010388102991566,True,,0.0434273430684905,1.2960755937661383,365-day mortality,IPSW weighted fixed-horizon logistic g-computation,trim_5_95
